date,event_timestamp_utc,indicator_type,event,country,actual,forecast,previous,revision,unit,importance,calendar_id,ticker,source,source_url,provider,provider_endpoint,point_in_time
2024-12-05,2024-12-05T20:30:00+00:00,nfp,Non-Farm Employment Change,United States,227000.0,218000.0,36000.0,,persons,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2024-12-05,2024-12-05T20:30:00+00:00,unemployment,Unemployment Rate,United States,4.2,4.1,4.1,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2024-12-10,2024-12-10T20:30:00+00:00,cpi,CPI m/m,United States,0.3,0.3,0.2,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2024-12-11,2024-12-11T13:30:00+00:00,core_cpi,Core CPI m/m,United States,0.3,0.3,0.3,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2024-12-16,2024-12-16T20:30:00+00:00,retail_sales,Retail Sales m/m,United States,0.7,0.6,0.5,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-01-03,2025-01-03T15:00:00+00:00,pmi,ISM Manufacturing PMI,United States,49.3,48.2,48.4,,index,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-01-09,2025-01-09T20:30:00+00:00,nfp,Non-Farm Employment Change,United States,256000.0,164000.0,212000.0,,persons,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-01-09,2025-01-09T20:30:00+00:00,unemployment,Unemployment Rate,United States,4.1,4.2,4.2,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-01-14,2025-01-14T20:30:00+00:00,core_cpi,Core CPI m/m,United States,0.2,0.3,0.3,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-01-14,2025-01-14T20:30:00+00:00,cpi,CPI m/m,United States,0.4,0.4,0.3,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-01-15,2025-01-15T20:30:00+00:00,retail_sales,Retail Sales m/m,United States,0.4,0.6,0.8,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-01-30,2025-01-30T13:30:00+00:00,gdp,Advance GDP q/q,United States,2.3,2.7,3.1,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-02-03,2025-02-03T15:00:00+00:00,pmi,ISM Manufacturing PMI,United States,50.9,49.3,49.3,,index,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-02-06,2025-02-06T20:30:00+00:00,nfp,Non-Farm Employment Change,United States,143000.0,169000.0,307000.0,,persons,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-02-06,2025-02-06T20:30:00+00:00,unemployment,Unemployment Rate,United States,4.0,4.1,4.1,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-02-11,2025-02-11T20:30:00+00:00,cpi,CPI m/m,United States,0.5,0.3,0.4,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-02-12,2025-02-12T13:30:00+00:00,core_cpi,Core CPI m/m,United States,0.4,0.3,0.2,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-02-13,2025-02-13T20:30:00+00:00,retail_sales,Retail Sales m/m,United States,-0.9,-0.2,0.7,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-03-03,2025-03-03T15:00:00+00:00,pmi,ISM Manufacturing PMI,United States,50.3,50.6,50.9,,index,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2025-03-06,2025-03-06T20:30:00+00:00,nfp,Non-Farm Employment Change,United States,151000.0,159000.0,125000.0,,persons,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
